iter	Passed	Remaining
1073	3076	11244
1074	3078	11239
1075	3081	11236
1076	3083	11233
1077	3086	11228
1078	3088	11223
1079	3091	11219
1080	3093	11214
1081	3095	11210
1082	3098	11207
1083	3101	11203
1084	3103	11198
1085	3106	11195
1086	3108	11190
1087	3111	11187
1088	3113	11183
1089	3116	11179
1090	3118	11174
1091	3121	11169
1092	3123	11165
1093	3125	11161
1094	3128	11156
1095	3131	11152
1096	3133	11148
1097	3136	11145
1098	3138	11140
1099	3141	11137
1100	3143	11133
1101	3146	11131
1102	3149	11128
1103	3152	11124
1104	3155	11121
1105	3158	11119
1106	3161	11119
1107	3164	11115
1108	3166	11111
1109	3169	11107
1110	3172	11103
1111	3174	11100
1112	3177	11096
1113	3179	11092
1114	3182	11088
1115	3184	11083
1116	3187	11080
1117	3189	11076
1118	3192	11071
1119	3194	11067
1120	3197	11062
1121	3199	11058
1122	3201	11054
1123	3204	11049
1124	3206	11045
1125	3209	11041
1126	3211	11035
1127	3213	11031
1128	3216	11026
1129	3218	11022
1130	3220	11018
1131	3223	11014
1132	3225	11009
1133	3228	11005
1134	3233	11012
1135	3237	11011
1136	3241	11012
1137	3244	11010
1138	3249	11015
1139	3254	11018
1140	3257	11016
1141	3261	11017
1142	3264	11015
1143	3267	11013
1144	3270	11011
1145	3274	11010
1146	3276	11007
1147	3279	11004
1148	3284	11009
1149	3288	11008
1150	3290	11005
1151	3293	11001
1152	3296	10997
1153	3298	10994
1154	3301	10990
1155	3303	10986
1156	3306	10982
1157	3308	10978
1158	3311	10974
1159	3314	10970
1160	3316	10965
1161	3319	10963
1162	3321	10959
1163	3324	10955
1164	3326	10951
1165	3329	10946
1166	3331	10942
1167	3333	10938
1168	3336	10933
1169	3338	10929
1170	3341	10925
1171	3343	10920
1172	3346	10916
1173	3348	10913
1174	3351	10909
1175	3353	10904
1176	3355	10900
1177	3358	10896
1178	3360	10892
1179	3363	10888
1180	3366	10885
1181	3368	10881
1182	3371	10878
1183	3374	10874
1184	3395	10930
1185	3398	10929
1186	3400	10924
1187	3403	10919
1188	3405	10915
1189	3407	10910
1190	3409	10905
1191	3412	10901
1192	3414	10896
1193	3417	10892
1194	3419	10888
1195	3421	10883
1196	3424	10879
1197	3426	10875
1198	3429	10871
1199	3432	10868
1200	3434	10863
1201	3437	10860
1202	3439	10856
1203	3441	10851
1204	3444	10848
1205	3447	10844
1206	3449	10839
1207	3451	10835
1208	3454	10830
1209	3456	10826
1210	3458	10822
1211	3461	10817
1212	3463	10814
1213	3466	10810
1214	3468	10805
1215	3471	10802
1216	3473	10798
1217	3476	10795
1218	3479	10791
1219	3481	10787
1220	3484	10784
1221	3486	10780
1222	3489	10776
1223	3492	10773
1224	3494	10769
1225	3497	10765
1226	3499	10761
1227	3502	10757
1228	3504	10753
1229	3507	10749
1230	3509	10745
1231	3512	10741
1232	3514	10736
1233	3532	10780
1234	3535	10776
1235	3537	10774
1236	3540	10770
1237	3544	10771
1238	3547	10769
1239	3551	10769
1240	3553	10764
1241	3557	10763
1242	3559	10759
1243	3562	10757
1244	3565	10753
1245	3568	10750
1246	3571	10747
1247	3573	10743
1248	3576	10739
1249	3578	10735
1250	3580	10730
1251	3583	10726
1252	3585	10722
1253	3588	10718
1254	3590	10714
1255	3593	10711
1256	3595	10707
1257	3598	10703
1258	3601	10700
1259	3603	10696
1260	3605	10692
1261	3608	10689
1262	3611	10685
1263	3613	10681
1264	3616	10678
1265	3619	10674
1266	3622	10671
1267	3624	10667
1268	3627	10664
1269	3630	10661
1270	3633	10659
1271	3635	10655
1272	3637	10650
1273	3640	10648
1274	3643	10643
1275	3645	10639
1276	3648	10636
1277	3651	10633
1278	3654	10631
1279	3656	10627
1280	3659	10624
1281	3662	10621
1282	3665	10618
1283	3667	10614
